Freq.	I(C1)/V(o)
1.00000000000000e+007	9.99997799968396e-011,-6.28317839566744e-005
2.00000000000000e+007	9.99997800043474e-011,-1.25663567913588e-004
3.00000000000000e+007	9.99997800117005e-011,-1.88495351870448e-004
4.00000000000000e+007	9.99997800149828e-011,-2.51327135827294e-004
5.00000000000000e+007	9.99997800003529e-011,-3.14158919784136e-004
6.00000000000000e+007	9.99997799995782e-011,-3.76990703740974e-004
7.00000000000000e+007	9.99997800003578e-011,-4.39822487697812e-004
8.00000000000000e+007	9.99997800109469e-011,-5.02654271654648e-004
9.00000000000000e+007	9.99997800062371e-011,-5.65486055611484e-004
1.00000000000000e+008	9.99997800003605e-011,-6.28317839568319e-004
1.10000000000000e+008	9.99997800104229e-011,-6.91149623525154e-004
1.20000000000000e+008	9.99997800007501e-011,-7.53981407481989e-004
1.30000000000000e+008	9.99997799871665e-011,-8.16813191438823e-004
1.40000000000000e+008	9.99997799875555e-011,-8.79644975395658e-004
1.50000000000000e+008	9.99997799972289e-011,-9.42476759352492e-004
1.60000000000000e+008	9.99997800044098e-011,-1.00530854330933e-003
1.70000000000000e+008	9.99997799953996e-011,-1.06814032726616e-003
1.80000000000000e+008	9.99997799956516e-011,-1.13097211122299e-003
1.90000000000000e+008	9.99997799829824e-011,-1.19380389517983e-003
2.00000000000000e+008	9.99997800003624e-011,-1.25663567913666e-003
2.10000000000000e+008	9.99997800089839e-011,-1.31946746309350e-003
2.20000000000000e+008	9.99997800003625e-011,-1.38229924705033e-003
2.30000000000000e+008	9.99997799792553e-011,-1.44513103100716e-003
2.40000000000000e+008	9.99997800223161e-011,-1.50796281496400e-003
2.50000000000000e+008	9.99997800109505e-011,-1.57079459892083e-003
2.60000000000000e+008	9.99997800003626e-011,-1.63362638287766e-003
2.70000000000000e+008	9.99997800127115e-011,-1.69645816683450e-003
2.80000000000000e+008	9.99997800003627e-011,-1.75928995079133e-003
2.90000000000000e+008	9.99997800136263e-011,-1.82212173474817e-003
3.00000000000000e+008	9.99997799760539e-011,-1.88495351870500e-003
3.10000000000000e+008	9.99997799755966e-011,-1.94778530266183e-003
3.20000000000000e+008	9.99997799963150e-011,-2.01061708661867e-003
3.30000000000000e+008	9.99997799913525e-011,-2.07344887057550e-003
3.40000000000000e+008	9.99997799848124e-011,-2.13628065453233e-003
3.50000000000000e+008	9.99997800109507e-011,-2.19911243848917e-003
3.60000000000000e+008	9.99997800109507e-011,-2.26194422244600e-003
3.70000000000000e+008	9.99997800024441e-011,-2.32477600640284e-003
3.80000000000000e+008	9.99997799935709e-011,-2.38760779035967e-003
3.90000000000000e+008	9.99997800182000e-011,-2.45043957431650e-003
4.00000000000000e+008	9.99997799637737e-011,-2.51327135827334e-003
4.10000000000000e+008	9.99997800003628e-011,-2.57610314223017e-003
4.20000000000000e+008	9.99997799917415e-011,-2.63893492618700e-003
4.30000000000000e+008	9.99997800200295e-011,-2.70176671014384e-003
4.40000000000000e+008	9.99997799897750e-011,-2.76459849410067e-003
4.50000000000000e+008	9.99997800109508e-011,-2.82743027805750e-003
4.60000000000000e+008	9.99997800108823e-011,-2.89026206201434e-003
4.70000000000000e+008	9.99997799897750e-011,-2.95309384597117e-003
4.80000000000000e+008	9.99997799889973e-011,-3.01592562992801e-003
4.90000000000000e+008	9.99997800121859e-011,-3.07875741388484e-003
5.00000000000000e+008	9.99997800126433e-011,-3.14158919784167e-003
5.10000000000000e+008	9.99997800226136e-011,-3.20442098179851e-003
5.20000000000000e+008	9.99997799990594e-011,-3.26725276575534e-003
5.30000000000000e+008	9.99997800230710e-011,-3.33008454971217e-003
5.40000000000000e+008	9.99997800038848e-011,-3.39291633366901e-003
5.50000000000000e+008	9.99997800003629e-011,-3.45574811762584e-003
5.60000000000000e+008	9.99997799981446e-011,-3.51857990158267e-003
5.70000000000000e+008	9.99997800109508e-011,-3.58141168553951e-003
5.80000000000000e+008	9.99997800215387e-011,-3.64424346949634e-003
5.90000000000000e+008	9.99997799868707e-011,-3.70707525345317e-003
6.00000000000000e+008	9.99997800140839e-011,-3.76990703741001e-003
6.10000000000000e+008	9.99997800249004e-011,-3.83273882136684e-003
6.20000000000000e+008	9.99997800145413e-011,-3.89557060532368e-003
6.30000000000000e+008	9.99997799965438e-011,-3.95840238928051e-003
6.40000000000000e+008	9.99997799897750e-011,-4.02123417323734e-003
6.50000000000000e+008	9.99997799960865e-011,-4.08406595719417e-003
6.60000000000000e+008	9.99997800109508e-011,-4.14689774115101e-003
6.70000000000000e+008	9.99997799956292e-011,-4.20972952510784e-003
6.80000000000000e+008	9.99997799897750e-011,-4.27256130906468e-003
6.90000000000000e+008	9.99997799897751e-011,-4.33539309302151e-003
7.00000000000000e+008	9.99997800057828e-011,-4.39822487697834e-003
7.10000000000000e+008	9.99997799897750e-011,-4.46105666093518e-003
7.20000000000000e+008	9.99997800003629e-011,-4.52388844489201e-003
7.30000000000000e+008	9.99997800231627e-011,-4.58672022884885e-003
7.40000000000000e+008	9.99997800003629e-011,-4.64955201280568e-003
7.50000000000000e+008	9.99997799937997e-011,-4.71238379676251e-003
7.60000000000000e+008	9.99997799897751e-011,-4.77521558071934e-003
7.70000000000000e+008	9.99997800145181e-011,-4.83804736467618e-003
7.80000000000000e+008	9.99997800254495e-011,-4.90087914863301e-003
7.90000000000000e+008	9.99997800184288e-011,-4.96371093258985e-003
8.00000000000000e+008	9.99997800186575e-011,-5.02654271654668e-003
8.10000000000000e+008	9.99997799897750e-011,-5.08937450050351e-003
8.20000000000000e+008	9.99997800191149e-011,-5.15220628446034e-003
8.30000000000000e+008	9.99997800003630e-011,-5.21503806841718e-003
8.40000000000000e+008	9.99997800003630e-011,-5.27786985237401e-003
8.50000000000000e+008	9.99997800003630e-011,-5.34070163633085e-003
8.60000000000000e+008	9.99997799701084e-011,-5.40353342028768e-003
8.70000000000000e+008	9.99997799711602e-011,-5.46636520424451e-003
8.80000000000000e+008	9.99997800098991e-011,-5.52919698820135e-003
8.90000000000000e+008	9.99997799995399e-011,-5.59202877215818e-003
9.00000000000000e+008	9.99997800106537e-011,-5.65486055611502e-003
9.10000000000000e+008	9.99997800003630e-011,-5.71769234007185e-003
9.20000000000000e+008	9.99997799899121e-011,-5.78052412402868e-003
9.30000000000000e+008	9.99997799897292e-011,-5.84335590798551e-003
9.40000000000000e+008	9.99997800112712e-011,-5.90618769194235e-003
9.50000000000000e+008	9.99997800003630e-011,-5.96901947589918e-003
9.60000000000000e+008	9.99997799897751e-011,-6.03185125985602e-003
9.70000000000000e+008	9.99997799897751e-011,-6.09468304381285e-003
9.80000000000000e+008	9.99997799785697e-011,-6.15751482776968e-003
9.90000000000000e+008	9.99997800109508e-011,-6.22034661172651e-003
1.00000000000000e+009	9.99997800020554e-011,-6.28317839568335e-003
