Freq.	I(C1)/V(i)
1.00000000000000e+007	1.14652808042803e-002,2.54863536649664e-004
1.02329299228075e+007	1.14655541352806e-002,2.60794241346850e-004
1.04712854805090e+007	1.14658403334495e-002,2.66862621737439e-004
1.07151930523761e+007	1.14661400038031e-002,2.73071852423045e-004
1.09647819614319e+007	1.14664537797274e-002,2.79425179497077e-004
1.12201845430196e+007	1.14667823243191e-002,2.85925922259152e-004
1.14815362149688e+007	1.14671263317539e-002,2.92577474941046e-004
1.17489755493953e+007	1.14674865287575e-002,2.99383307464490e-004
1.20226443461741e+007	1.14678636760973e-002,3.06346967999718e-004
1.23026877081238e+007	1.14682585701894e-002,3.13472083746686e-004
1.25892541179417e+007	1.14686720447509e-002,3.20762362958323e-004
1.28824955169313e+007	1.14691049725280e-002,3.28221596601940e-004
1.31825673855641e+007	1.14695582671211e-002,3.35853659877439e-004
1.34896288259165e+007	1.14700328848799e-002,3.43662513741213e-004
1.38038426460288e+007	1.14705298268791e-002,3.51652207090510e-004
1.41253754462275e+007	1.14710501410144e-002,3.59826877888860e-004
1.44543977074593e+007	1.14715949241544e-002,3.68190755556316e-004
1.47910838816821e+007	1.14721653244121e-002,3.76748161786557e-004
1.51356124843621e+007	1.14727625435348e-002,3.85503513557981e-004
1.54881661891248e+007	1.14733878393581e-002,3.94461323542616e-004
1.58489319246111e+007	1.14740425284099e-002,4.03626202919872e-004
1.62181009735893e+007	1.14747279886467e-002,4.13002862839309e-004
1.65958690743756e+007	1.14754456622358e-002,4.22596115889622e-004
1.69824365246174e+007	1.14761970585379e-002,4.32410878525189e-004
1.73780082874937e+007	1.14769837572235e-002,4.42452172347957e-004
1.77827941003892e+007	1.14778074114607e-002,4.52725126118820e-004
1.81970085860998e+007	1.14786697513401e-002,4.63234977735497e-004
1.86208713666287e+007	1.14795725873476e-002,4.73987075302156e-004
1.90546071796325e+007	1.14805178140902e-002,4.84986880253159e-004
1.94984459975804e+007	1.14815074141225e-002,4.96239967458036e-004
1.99526231496888e+007	1.14825434619755e-002,5.07752028487233e-004
2.04173794466953e+007	1.14836281283328e-002,5.19528872538461e-004
2.08929613085404e+007	1.14847636844284e-002,5.31576427626019e-004
2.13796208950223e+007	1.14859525066057e-002,5.43900744029791e-004
2.18776162394955e+007	1.14871970810898e-002,5.56507993738367e-004
2.23872113856834e+007	1.14885000089620e-002,5.69404473799720e-004
2.29086765276777e+007	1.14898640113617e-002,5.82596606567465e-004
2.34422881531992e+007	1.14912919348697e-002,5.96090942207572e-004
2.39883291901949e+007	1.14927867572178e-002,6.09894159526396e-004
2.45470891568503e+007	1.14943515930953e-002,6.24013067009524e-004
2.51188643150958e+007	1.14959897003483e-002,6.38454604862736e-004
2.57039578276886e+007	1.14977044863787e-002,6.53225845683614e-004
2.63026799189538e+007	1.14994995147769e-002,6.68333995319235e-004
2.69153480392691e+007	1.15013785122601e-002,6.83786394144485e-004
2.75422870333816e+007	1.15033453759504e-002,6.99590517878567e-004
2.81838293126445e+007	1.15054041808655e-002,7.15753978196792e-004
2.88403150312660e+007	1.15075591877562e-002,7.32284522421572e-004
2.95120922666638e+007	1.15098148513032e-002,7.49190035476531e-004
3.01995172040201e+007	1.15121758285404e-002,7.66478538650246e-004
3.09029543251359e+007	1.15146469877272e-002,7.84158189972685e-004
3.16227766016837e+007	1.15172334174355e-002,8.02237283987163e-004
3.23593656929628e+007	1.15199404361914e-002,8.20724251273190e-004
3.31131121482591e+007	1.15227736023267e-002,8.39627657586634e-004
3.38844156139202e+007	1.15257387241573e-002,8.58956202363296e-004
3.46736850452531e+007	1.15288418707550e-002,8.78718718119918e-004
3.54813389233575e+007	1.15320893830170e-002,8.98924168602005e-004
3.63078054770101e+007	1.15354878850772e-002,9.19581645700443e-004
3.71535229097172e+007	1.15390442961208e-002,9.40700368117678e-004
3.80189396320561e+007	1.15427658428664e-002,9.62289678572821e-004
3.89045144994280e+007	1.15466600720898e-002,9.84359039129984e-004
3.98107170553497e+007	1.15507348640442e-002,1.00691802825833e-003
4.07380277804112e+007	1.15549984457557e-002,1.02997633742834e-003
4.16869383470335e+007	1.15594594054204e-002,1.05354376397355e-003
4.26579518801592e+007	1.15641267067134e-002,1.07763020750281e-003
4.36515832240165e+007	1.15690097036960e-002,1.10224566255902e-003
4.46683592150962e+007	1.15741181565670e-002,1.12740021271814e-003
4.57088189614874e+007	1.15794622470923e-002,1.15310402257631e-003
4.67735141287197e+007	1.15850525953499e-002,1.17936732844128e-003
4.78630092322637e+007	1.15909002762150e-002,1.20620043113359e-003
4.89778819368445e+007	1.15970168367142e-002,1.23361368341906e-003
5.01187233627271e+007	1.16034143136570e-002,1.26161748166982e-003
5.12861383991364e+007	1.16101052516647e-002,1.29022225066701e-003
5.24807460249771e+007	1.16171027217001e-002,1.31943843348277e-003
5.37031796370251e+007	1.16244203397257e-002,1.34927647471695e-003
5.49540873857623e+007	1.16320722862252e-002,1.37974680683626e-003
5.62341325190348e+007	1.16400733254276e-002,1.41085983092111e-003
5.75439937337156e+007	1.16484388251687e-002,1.44262590157664e-003
5.88843655355588e+007	1.16571847771752e-002,1.47505530427723e-003
6.02559586074356e+007	1.16663278171524e-002,1.50815823696093e-003
6.16595001861481e+007	1.16758852452797e-002,1.54194478370012e-003
6.30957344480192e+007	1.16858750467554e-002,1.57642489493474e-003
6.45654229034654e+007	1.16963159124296e-002,1.61160835567941e-003
6.60693448007594e+007	1.17072272593070e-002,1.64750476178575e-003
6.76082975391980e+007	1.17186292510002e-002,1.68412348803751e-003
6.91830970918935e+007	1.17305428179462e-002,1.72147365604036e-003
7.07945784384136e+007	1.17429896773512e-002,1.75956409947882e-003
7.24435960074988e+007	1.17559923525825e-002,1.79840332853275e-003
7.41310241300915e+007	1.17695741921995e-002,1.83799948898495e-003
7.58577575029182e+007	1.17837593881864e-002,1.87836032344910e-003
7.76247116628690e+007	1.17985729936513e-002,1.91949312546998e-003
7.94328234724279e+007	1.18140409389641e-002,1.96140469367720e-003
8.12830516164097e+007	1.18301900465924e-002,2.00410128375510e-003
8.31763771102669e+007	1.18470480464825e-002,2.04758855295863e-003
8.51138038202374e+007	1.18646435866531e-002,2.09187150925407e-003
8.70963589956078e+007	1.18830062449442e-002,2.13695445115082e-003
8.91250938133743e+007	1.19021665375629e-002,2.18284090841782e-003
9.12010839355907e+007	1.19221559243629e-002,2.22953357576882e-003
9.33254300796988e+007	1.19430068138711e-002,2.27703424978636e-003
9.54992586021433e+007	1.19647525627838e-002,2.32534375730183e-003
9.77237220955808e+007	1.19874274747615e-002,2.37446188015332e-003
9.99999999999997e+007	1.20110667943946e-002,2.42438728528272e-003
1.02329299228075e+008	1.20357066966271e-002,2.47511743769356e-003
1.04712854805090e+008	1.20613842744203e-002,2.52664852627272e-003
1.07151930523760e+008	1.20881375190028e-002,2.57897537484718e-003
1.09647819614318e+008	1.21160052972638e-002,2.63209135691216e-003
1.12201845430196e+008	1.21450273223593e-002,2.68598830339462e-003
1.14815362149688e+008	1.21752441195393e-002,2.74065641238018e-003
1.17489755493953e+008	1.22066969850196e-002,2.79608415552904e-003
1.20226443461741e+008	1.22394279381348e-002,2.85225817921285e-003
1.23026877081238e+008	1.22734796673956e-002,2.90916321032380e-003
1.25892541179416e+008	1.23088954668386e-002,2.96678195409133e-003
1.28824955169313e+008	1.23457191673553e-002,3.02509499873311e-003
1.31825673855640e+008	1.23839950563031e-002,3.08408071176219e-003
1.34896288259165e+008	1.24237677898890e-002,3.14371514735800e-003
1.38038426460288e+008	1.24650822976410e-002,3.20397194239509e-003
1.41253754462275e+008	1.25079836737045e-002,3.26482222122284e-003
1.44543977074592e+008	1.25525170610166e-002,3.32623450578422e-003
