Freq.	I(C1)/V(i)	I(C2)/V(i)
1.00000000000000e+007	1.00000001000000e-003,6.91150434694715e-004	9.99999999900100e-002,-6.28318371500184e-005
2.00000000000000e+007	1.00000001000000e-003,1.38230087177675e-003	9.99999999900100e-002,-1.25663698173278e-004
3.00000000000000e+007	1.00000001000000e-003,2.07345130832828e-003	9.99999999900100e-002,-1.88495553891373e-004
4.00000000000000e+007	1.00000001000000e-003,2.76460174474717e-003	9.99999999900100e-002,-2.51327408283177e-004
5.00000000000000e+007	1.00000001000000e-003,3.45575175534782e-003	9.99999999900100e-002,-3.14159262144465e-004
6.00000000000000e+007	1.00000001000000e-003,4.14690261745233e-003	9.99999999900100e-002,-3.76991115740494e-004
7.00000000000000e+007	1.00000001000000e-003,4.83805305377649e-003	9.99999999900100e-002,-4.39822969184947e-004
8.00000000000000e+007	1.00000001000000e-003,5.52920349009118e-003	9.99999999900100e-002,-5.02654822534665e-004
9.00000000000000e+007	1.00000001000000e-003,6.22035392639954e-003	9.99999999900100e-002,-5.65486675821226e-004
1.00000000000000e+008	1.00000001000000e-003,6.91150351117309e-003	9.99999999900100e-002,-6.28318529063577e-004
1.10000000000000e+008	1.00000001000000e-003,7.60265386232079e-003	9.99999999900100e-002,-6.91150382273776e-004
1.20000000000000e+008	1.00000001000000e-003,8.29380523530255e-003	9.99999999900100e-002,-7.53982235459861e-004
1.30000000000000e+008	1.00000001000000e-003,8.98495567159902e-003	9.99999999900100e-002,-8.16814088627396e-004
1.40000000000000e+008	1.00000001000000e-003,9.67610610789402e-003	9.99999999900100e-002,-8.79645941780357e-004
1.50000000000000e+008	1.00000001000000e-003,1.03672552668923e-002	9.99999999900100e-002,-9.42477794921657e-004
1.60000000000000e+008	1.00000001000000e-003,1.10584069804808e-002	9.99999999900100e-002,-1.00530964805348e-003
1.70000000000000e+008	1.00000001000000e-003,1.17495559691712e-002	9.99999999900100e-002,-1.06814150117751e-003
1.80000000000000e+008	1.00000001000000e-003,1.24407078530643e-002	9.99999999900100e-002,-1.13097335429503e-003
1.90000000000000e+008	1.00000001000000e-003,1.31318550535398e-002	9.99999999900100e-002,-1.19380520740708e-003
2.00000000000000e+008	1.00000001000000e-003,1.38230070225849e-002	9.99999999900100e-002,-1.25663706051448e-003
2.10000000000000e+008	1.00000001000000e-003,1.45141555855081e-002	9.99999999900100e-002,-1.31946891361789e-003
2.20000000000000e+008	1.00000001000000e-003,1.52053077248586e-002	9.99999999900100e-002,-1.38230076671785e-003
2.30000000000000e+008	1.00000001000000e-003,1.58964561174751e-002	9.99999999900100e-002,-1.44513261981481e-003
2.40000000000000e+008	1.00000001000000e-003,1.65876104708040e-002	9.99999999900100e-002,-1.50796447290916e-003
2.50000000000000e+008	1.00000001000000e-003,1.72787587782670e-002	9.99999999900100e-002,-1.57079632600120e-003
2.60000000000000e+008	1.00000001000000e-003,1.79699113433817e-002	9.99999999900100e-002,-1.63362817909120e-003
2.70000000000000e+008	1.00000001000000e-003,1.86610594805381e-002	9.99999999900100e-002,-1.69646003217938e-003
2.80000000000000e+008	1.00000001000000e-003,1.93522122159586e-002	9.99999999900100e-002,-1.75929188526594e-003
2.90000000000000e+008	1.00000001000000e-003,2.00433626522468e-002	9.99999999900100e-002,-1.82212373835106e-003
3.00000000000000e+008	1.00000001000000e-003,2.07345105339437e-002	9.99999999900100e-002,-1.88495559143486e-003
3.10000000000000e+008	1.00000001000000e-003,2.14256608850786e-002	9.99999999900100e-002,-1.94778744451749e-003
3.20000000000000e+008	1.00000001000000e-003,2.21168139611107e-002	9.99999999900100e-002,-2.01061929759905e-003
3.30000000000000e+008	1.00000001000000e-003,2.28079615873482e-002	9.99999999900100e-002,-2.07345115067963e-003
3.40000000000000e+008	1.00000001000000e-003,2.34991119384828e-002	9.99999999900100e-002,-2.13628300375933e-003
3.50000000000000e+008	1.00000001000000e-003,2.41902622896174e-002	9.99999999900100e-002,-2.19911485683821e-003
3.60000000000000e+008	1.00000001000000e-003,2.48814157062613e-002	9.99999999900100e-002,-2.26194670991636e-003
3.70000000000000e+008	1.00000001000000e-003,2.55725661425488e-002	9.99999999900100e-002,-2.32477856299382e-003
