Freq.	I(C1)/V(o)
1.00000000000000e+007	(-8.40364121873220e+001dB,-8.99999088110350e+001°)
1.02329299228075e+007	(-8.38364121873215e+001dB,-8.99999108867493e+001°)
1.04712854805090e+007	(-8.36364121873211e+001dB,-8.99999129152145e+001°)
1.07151930523761e+007	(-8.34364121873206e+001dB,-8.99999148975063e+001°)
1.09647819614319e+007	(-8.32364121873202e+001dB,-8.99999168346755e+001°)
1.12201845430196e+007	(-8.30364121873198e+001dB,-8.99999187277494e+001°)
1.14815362149688e+007	(-8.28364121873194e+001dB,-8.99999205777317e+001°)
1.17489755493953e+007	(-8.26364121873190e+001dB,-8.99999223856033e+001°)
1.20226443461741e+007	(-8.24364121873187e+001dB,-8.99999241523226e+001°)
1.23026877081238e+007	(-8.22364121873183e+001dB,-8.99999258788265e+001°)
1.25892541179417e+007	(-8.20364121873180e+001dB,-8.99999275660304e+001°)
1.28824955169313e+007	(-8.18364121873177e+001dB,-8.99999292148289e+001°)
1.31825673855641e+007	(-8.16364121873174e+001dB,-8.99999308260961e+001°)
1.34896288259165e+007	(-8.14364121873171e+001dB,-8.99999324006864e+001°)
1.38038426460288e+007	(-8.12364121873168e+001dB,-8.99999339394346e+001°)
1.41253754462275e+007	(-8.10364121873166e+001dB,-8.99999354431567e+001°)
1.44543977074593e+007	(-8.08364121873163e+001dB,-8.99999369126498e+001°)
1.47910838816821e+007	(-8.06364121873161e+001dB,-8.99999383486932e+001°)
1.51356124843621e+007	(-8.04364121873159e+001dB,-8.99999397520483e+001°)
1.54881661891248e+007	(-8.02364121873156e+001dB,-8.99999411234591e+001°)
1.58489319246111e+007	(-8.00364121873154e+001dB,-8.99999424636528e+001°)
1.62181009735893e+007	(-7.98364121873152e+001dB,-8.99999437733400e+001°)
1.65958690743756e+007	(-7.96364121873150e+001dB,-8.99999450532150e+001°)
1.69824365246174e+007	(-7.94364121873149e+001dB,-8.99999463039565e+001°)
1.73780082874937e+007	(-7.92364121873147e+001dB,-8.99999475262277e+001°)
1.77827941003892e+007	(-7.90364121873145e+001dB,-8.99999487206766e+001°)
1.81970085860998e+007	(-7.88364121873144e+001dB,-8.99999498879365e+001°)
1.86208713666287e+007	(-7.86364121873142e+001dB,-8.99999510286263e+001°)
1.90546071796325e+007	(-7.84364121873141e+001dB,-8.99999521433509e+001°)
1.94984459975804e+007	(-7.82364121873139e+001dB,-8.99999532327012e+001°)
1.99526231496888e+007	(-7.80364121873138e+001dB,-8.99999542972549e+001°)
2.04173794466953e+007	(-7.78364121873137e+001dB,-8.99999553375764e+001°)
2.08929613085404e+007	(-7.76364121873136e+001dB,-8.99999563542173e+001°)
2.13796208950223e+007	(-7.74364121873135e+001dB,-8.99999573477166e+001°)
2.18776162394955e+007	(-7.72364121873133e+001dB,-8.99999583186011e+001°)
2.23872113856834e+007	(-7.70364121873132e+001dB,-8.99999592673856e+001°)
2.29086765276777e+007	(-7.68364121873131e+001dB,-8.99999601945731e+001°)
2.34422881531992e+007	(-7.66364121873131e+001dB,-8.99999611006552e+001°)
2.39883291901949e+007	(-7.64364121873130e+001dB,-8.99999619861124e+001°)
2.45470891568503e+007	(-7.62364121873129e+001dB,-8.99999628514141e+001°)
2.51188643150958e+007	(-7.60364121873128e+001dB,-8.99999636970192e+001°)
2.57039578276886e+007	(-7.58364121873127e+001dB,-8.99999645233759e+001°)
2.63026799189538e+007	(-7.56364121873126e+001dB,-8.99999653309225e+001°)
2.69153480392691e+007	(-7.54364121873126e+001dB,-8.99999661200870e+001°)
2.75422870333816e+007	(-7.52364121873125e+001dB,-8.99999668912880e+001°)
2.81838293126445e+007	(-7.50364121873125e+001dB,-8.99999676449343e+001°)
2.88403150312660e+007	(-7.48364121873124e+001dB,-8.99999683814255e+001°)
2.95120922666638e+007	(-7.46364121873123e+001dB,-8.99999691011521e+001°)
3.01995172040201e+007	(-7.44364121873123e+001dB,-8.99999698044958e+001°)
3.09029543251359e+007	(-7.42364121873122e+001dB,-8.99999704918294e+001°)
3.16227766016837e+007	(-7.40364121873122e+001dB,-8.99999711635173e+001°)
3.23593656929628e+007	(-7.38364121873121e+001dB,-8.99999718199158e+001°)
3.31131121482591e+007	(-7.36364121873121e+001dB,-8.99999724613728e+001°)
3.38844156139202e+007	(-7.34364121873120e+001dB,-8.99999730882285e+001°)
3.46736850452531e+007	(-7.32364121873120e+001dB,-8.99999737008152e+001°)
3.54813389233575e+007	(-7.30364121873119e+001dB,-8.99999742994578e+001°)
3.63078054770101e+007	(-7.28364121873119e+001dB,-8.99999748844735e+001°)
3.71535229097172e+007	(-7.26364121873119e+001dB,-8.99999754561727e+001°)
3.80189396320561e+007	(-7.24364121873118e+001dB,-8.99999760148584e+001°)
3.89045144994280e+007	(-7.22364121873118e+001dB,-8.99999765608269e+001°)
3.98107170553497e+007	(-7.20364121873118e+001dB,-8.99999770943676e+001°)
4.07380277804112e+007	(-7.18364121873117e+001dB,-8.99999776157635e+001°)
4.16869383470335e+007	(-7.16364121873117e+001dB,-8.99999781252909e+001°)
4.26579518801592e+007	(-7.14364121873117e+001dB,-8.99999786232201e+001°)
