Freq.	I(C2)/V(i)
1.00000000000000e+007	9.99999900099985e-002,-6.28159312974835e-005
1.02329299228075e+007	9.99999900099986e-002,-6.42798353005240e-005
1.04712854805090e+007	9.99999900099987e-002,-6.57778213230852e-005
1.07151930523761e+007	9.99999900099988e-002,-6.73106836171842e-005
1.09647819614319e+007	9.99999900099989e-002,-6.88792349266993e-005
1.12201845430196e+007	9.99999900099990e-002,-7.04843069182969e-005
1.14815362149688e+007	9.99999900099991e-002,-7.21267506223928e-005
1.17489755493953e+007	9.99999900099992e-002,-7.38074368843790e-005
1.20226443461741e+007	9.99999900099992e-002,-7.55272568263582e-005
1.23026877081238e+007	9.99999900099993e-002,-7.72871223196282e-005
1.25892541179417e+007	9.99999900099994e-002,-7.90879664681681e-005
1.28824955169313e+007	9.99999900099995e-002,-8.09307441033824e-005
1.31825673855641e+007	9.99999900099996e-002,-8.28164322903654e-005
1.34896288259165e+007	9.99999900099996e-002,-8.47460308459538e-005
1.38038426460288e+007	9.99999900099997e-002,-8.67205628688430e-005
1.41253754462275e+007	9.99999900099998e-002,-8.87410752820476e-005
1.44543977074593e+007	9.99999900099998e-002,-9.08086393879939e-005
1.47910838816821e+007	9.99999900099999e-002,-9.29243514365380e-005
1.51356124843621e+007	9.99999900099999e-002,-9.50893332062130e-005
1.54881661891248e+007	9.99999900099999e-002,-9.73047325990100e-005
1.58489319246111e+007	9.99999900100000e-002,-9.95717242490114e-005
1.62181009735893e+007	9.99999900100000e-002,-1.01891510145197e-004
1.65958690743756e+007	9.99999900100001e-002,-1.04265320268756e-004
1.69824365246174e+007	9.99999900100001e-002,-1.06694413245235e-004
1.73780082874937e+007	9.99999900100002e-002,-1.09180077011885e-004
1.77827941003892e+007	9.99999900100002e-002,-1.11723629500536e-004
1.81970085860998e+007	9.99999900100002e-002,-1.14326419336384e-004
1.86208713666287e+007	9.99999900100003e-002,-1.16989826553054e-004
1.90546071796325e+007	9.99999900100003e-002,-1.19715263324306e-004
1.94984459975804e+007	9.99999900100003e-002,-1.22504174712792e-004
1.99526231496888e+007	9.99999900100003e-002,-1.25358039436244e-004
