Freq.	I(C1)/V(o)
1.00000000000000e+007	9.99997799968396e-011,-6.28317839566744e-005
6.21052631578947e+007	9.99997800003564e-011,-3.90218447731888e-004
1.14210526315789e+008	9.99997799897732e-011,-7.17605111506980e-004
1.66315789473684e+008	9.99997800109499e-011,-1.04499177528206e-003
2.18421052631579e+008	9.99997799897746e-011,-1.37237843905715e-003
2.70526315789474e+008	9.99997800268935e-011,-1.69976510283223e-003
3.22631578947368e+008	9.99997800003627e-011,-2.02715176660731e-003
3.74736842105263e+008	9.99997800175019e-011,-2.35453843038239e-003
4.26842105263158e+008	9.99997800020164e-011,-2.68192509415747e-003
4.78947368421053e+008	9.99997800003629e-011,-3.00931175793255e-003
5.31052631578947e+008	9.99997800109508e-011,-3.33669842170763e-003
5.83157894736842e+008	9.99997800003629e-011,-3.66408508548271e-003
6.35263157894737e+008	9.99997799858356e-011,-3.99147174925779e-003
6.87368421052632e+008	9.99997800003630e-011,-4.31885841303287e-003
7.39473684210526e+008	9.99997800109508e-011,-4.64624507680795e-003
7.91578947368421e+008	9.99997799822610e-011,-4.97363174058303e-003
8.43684210526316e+008	9.99997800109508e-011,-5.30101840435811e-003
8.95789473684211e+008	9.99997799795326e-011,-5.62840506813319e-003
9.47894736842105e+008	9.99997800003630e-011,-5.95579173190827e-003
1.00000000000000e+009	9.99997800020554e-011,-6.28317839568335e-003
