Freq.	I(C1)/V(i)
1.00000000000000e+007	(-3.88101606108307e+001dB,1.27342720533864e+000°)
1.02329299228075e+007	(-3.88098526632785e+001dB,1.30301885352832e+000°)
1.04712854805090e+007	(-3.88095302423029e+001dB,1.33329450559290e+000°)
1.07151930523761e+007	(-3.88091926696097e+001dB,1.36426972388663e+000°)
1.09647819614319e+007	(-3.88088392353135e+001dB,1.39596040618402e+000°)
1.12201845430196e+007	(-3.88084691964682e+001dB,1.42838279269210e+000°)
1.14815362149688e+007	(-3.88080817755567e+001dB,1.46155347301471e+000°)
1.17489755493953e+007	(-3.88076761589024e+001dB,1.49548938816149e+000°)
1.20226443461741e+007	(-3.88072514950113e+001dB,1.53020784143010e+000°)
1.23026877081238e+007	(-3.88068068928407e+001dB,1.56572650027489e+000°)
1.25892541179417e+007	(-3.88063414199881e+001dB,1.60206340423875e+000°)
1.28824955169313e+007	(-3.88058541008072e+001dB,1.63923697092609e+000°)
1.31825673855641e+007	(-3.88053439144328e+001dB,1.67726600109671e+000°)
1.34896288259165e+007	(-3.88048097927275e+001dB,1.71616968361648e+000°)
1.38038426460288e+007	(-3.88042506181308e+001dB,1.75596760352062e+000°)
1.41253754462275e+007	(-3.88036652214149e+001dB,1.79667974458942e+000°)
1.44543977074593e+007	(-3.88030523793449e+001dB,1.83832649803105e+000°)
1.47910838816821e+007	(-3.88024108122589e+001dB,1.88092866308594e+000°)
1.51356124843621e+007	(-3.88017391814795e+001dB,1.92450745833527e+000°)
1.54881661891248e+007	(-3.88010360867135e+001dB,1.96908451977695e+000°)
1.58489319246111e+007	(-3.88003000632502e+001dB,2.01468191061961e+000°)
1.62181009735893e+007	(-3.87995295790652e+001dB,2.06132212404143e+000°)
1.65958690743756e+007	(-3.87987230318608e+001dB,2.10902808568284e+000°)
1.69824365246174e+007	(-3.87978787459002e+001dB,2.15782316056997e+000°)
1.73780082874937e+007	(-3.87969949687410e+001dB,2.20773115397504e+000°)
1.77827941003892e+007	(-3.87960698678646e+001dB,2.25877631555012e+000°)
1.81970085860998e+007	(-3.87951015270974e+001dB,2.31098334287387e+000°)
1.86208713666287e+007	(-3.87940879429909e+001dB,2.36437738006366e+000°)
1.90546071796325e+007	(-3.87930270209183e+001dB,2.41898402614985e+000°)
1.94984459975804e+007	(-3.87919165711571e+001dB,2.47482932793462e+000°)
1.99526231496888e+007	(-3.87907543046889e+001dB,2.53193978807708e+000°)
2.04173794466953e+007	(-3.87895378289322e+001dB,2.59034236097993e+000°)
2.08929613085404e+007	(-3.87882646432711e+001dB,2.65006444939749e+000°)
2.13796208950223e+007	(-3.87869321343549e+001dB,2.71113391167971e+000°)
2.18776162394955e+007	(-3.87855375713464e+001dB,2.77357904840953e+000°)
2.23872113856834e+007	(-3.87840781008552e+001dB,2.83742860779520e+000°)
2.29086765276777e+007	(-3.87825507417823e+001dB,2.90271177486382e+000°)
2.34422881531992e+007	(-3.87809523799226e+001dB,2.96945817112652e+000°)
2.39883291901949e+007	(-3.87792797623604e+001dB,3.03769784503077e+000°)
2.45470891568503e+007	(-3.87775294917659e+001dB,3.10746126261550e+000°)
2.51188643150958e+007	(-3.87756980203386e+001dB,3.17877930217246e+000°)
2.57039578276886e+007	(-3.87737816436396e+001dB,3.25168324112050e+000°)
2.63026799189538e+007	(-3.87717764942328e+001dB,3.32620474276616e+000°)
2.69153480392691e+007	(-3.87696785350708e+001dB,3.40237584403632e+000°)
2.75422870333816e+007	(-3.87674835526431e+001dB,3.48022893972599e+000°)
2.81838293126445e+007	(-3.87651871499782e+001dB,3.55979676451587e+000°)
2.88403150312660e+007	(-3.87627847394375e+001dB,3.64111236910545e+000°)
2.95120922666638e+007	(-3.87602715351518e+001dB,3.72420910618294e+000°)
3.01995172040201e+007	(-3.87576425454605e+001dB,3.80912059914913e+000°)
3.09029543251359e+007	(-3.87548925649726e+001dB,3.89588071728467e+000°)
3.16227766016837e+007	(-3.87520161665385e+001dB,3.98452354635979e+000°)
3.23593656929628e+007	(-3.87490076928713e+001dB,4.07508335626298e+000°)
3.31131121482591e+007	(-3.87458612480962e+001dB,4.16759456502366e+000°)
3.38844156139202e+007	(-3.87425706891684e+001dB,4.26209169786316e+000°)
3.46736850452531e+007	(-3.87391296168913e+001dB,4.35860934868301e+000°)
3.54813389233575e+007	(-3.87355313668868e+001dB,4.45718213336975e+000°)
3.63078054770101e+007	(-3.87317690005085e+001dB,4.55784463494850e+000°)
3.71535229097172e+007	(-3.87278352955007e+001dB,4.66063135520557e+000°)
3.80189396320561e+007	(-3.87237227364036e+001dB,4.76557665672139e+000°)
3.89045144994280e+007	(-3.87194235052350e+001dB,4.87271469345648e+000°)
3.98107170553497e+007	(-3.87149294716128e+001dB,4.98207934726926e+000°)
4.07380277804112e+007	(-3.87102321832331e+001dB,5.09370415985969e+000°)
4.16869383470335e+007	(-3.87053228560408e+001dB,5.20762224347672e+000°)
4.26579518801592e+007	(-3.87001923645388e+001dB,5.32386620669102e+000°)
4.36515832240165e+007	(-3.86948312322327e+001dB,5.44246805893720e+000°)
4.46683592150962e+007	(-3.86892296217260e+001dB,5.56345911920227e+000°)
4.57088189614874e+007	(-3.86833773256100e+001dB,5.68686991189878e+000°)
4.67735141287197e+007	(-3.86772637569295e+001dB,5.81273005317037e+000°)
4.78630092322637e+007	(-3.86708779401847e+001dB,5.94106814502680e+000°)
4.89778819368445e+007	(-3.86642085026361e+001dB,6.07191164014343e+000°)
5.01187233627271e+007	(-3.86572436656833e+001dB,6.20528672461521e+000°)
5.12861383991364e+007	(-3.86499712371363e+001dB,6.34121816442308e+000°)
5.24807460249771e+007	(-3.86423786034284e+001dB,6.47972917396335e+000°)
5.37031796370251e+007	(-3.86344527230404e+001dB,6.62084124967631e+000°)
5.49540873857623e+007	(-3.86261801198725e+001dB,6.76457401605833e+000°)
5.62341325190348e+007	(-3.86175468782144e+001dB,6.91094504249564e+000°)
5.75439937337156e+007	(-3.86085386378592e+001dB,7.05996967805543e+000°)
5.88843655355588e+007	(-3.85991405906173e+001dB,7.21166084757071e+000°)
6.02559586074356e+007	(-3.85893374777193e+001dB,7.36602886703590e+000°)
6.16595001861481e+007	(-3.85791135888474e+001dB,7.52308121929649e+000°)
6.30957344480192e+007	(-3.85684527617953e+001dB,7.68282236070817e+000°)
6.45654229034654e+007	(-3.85573383845689e+001dB,7.84525346938513e+000°)
6.60693448007594e+007	(-3.85457533982547e+001dB,8.01037223262457e+000°)
6.76082975391980e+007	(-3.85336803022378e+001dB,8.17817259576274e+000°)
6.91830970918935e+007	(-3.85211011612312e+001dB,8.34864451166756e+000°)
7.07945784384136e+007	(-3.85079976144584e+001dB,8.52177367993352e+000°)
7.24435960074988e+007	(-3.84943508870864e+001dB,8.69754128536453e+000°)
7.41310241300915e+007	(-3.84801418043266e+001dB,8.87592371518701e+000°)
7.58577575029182e+007	(-3.84653508077834e+001dB,9.05689229173981e+000°)
7.76247116628690e+007	(-3.84499579749412e+001dB,9.24041297746204e+000°)
7.94328234724279e+007	(-3.84339430417960e+001dB,9.42644608838093e+000°)
8.12830516164097e+007	(-3.84172854287230e+001dB,9.61494600651091e+000°)
8.31763771102669e+007	(-3.83999642689378e+001dB,9.80586086627864e+000°)
8.51138038202374e+007	(-3.83819584419418e+001dB,9.99913227766206e+000°)
8.70963589956078e+007	(-3.83632466093706e+001dB,1.01946950172502e+001°)
8.91250938133743e+007	(-3.83438072551248e+001dB,1.03924767403963e+001°)
9.12010839355907e+007	(-3.83236187307614e+001dB,1.05923976793254e+001°)
9.33254300796988e+007	(-3.83026593026442e+001dB,1.07943703744516e+001°)
9.54992586021433e+007	(-3.82809072060022e+001dB,1.09982993903805e+001°)
9.77237220955808e+007	(-3.82583407017764e+001dB,1.12040810376818e+001°)
9.99999999999997e+007	(-3.82349381377642e+001dB,1.14116031472494e+001°)
1.02329299228075e+008	(-3.82106780167378e+001dB,1.16207447956446e+001°)
1.04712854805090e+008	(-3.81855390652555e+001dB,1.18313761191034e+001°)
1.07151930523760e+008	(-3.81595003106527e+001dB,1.20433580965049e+001°)
1.09647819614318e+008	(-3.81325411601720e+001dB,1.22565423838572e+001°)
1.12201845430196e+008	(-3.81046414861136e+001dB,1.24707711574407e+001°)
1.14815362149688e+008	(-3.80757817139182e+001dB,1.26858770062017e+001°)
1.17489755493953e+008	(-3.80459429149890e+001dB,1.29016828532538e+001°)
1.20226443461741e+008	(-3.80151069039104e+001dB,1.31180018993445e+001°)
1.23026877081238e+008	(-3.79832563375766e+001dB,1.33346376335180e+001°)
1.25892541179416e+008	(-3.79503748200213e+001dB,1.35513838592814e+001°)
1.28824955169313e+008	(-3.79164470068418e+001dB,1.37680247981726e+001°)
1.31825673855640e+008	(-3.78814587154273e+001dB,1.39843352109918e+001°)
1.34896288259165e+008	(-3.78453970341294e+001dB,1.42000806174605e+001°)
1.38038426460288e+008	(-3.78082504337388e+001dB,1.44150175162839e+001°)
1.41253754462275e+008	(-3.77700088806865e+001dB,1.46288936985994e+001°)
1.44543977074592e+008	(-3.77306639476647e+001dB,1.48414486311403e+001°)
1.47910838816820e+008	(-3.76902089253159e+001dB,1.50524138723131e+001°)
1.51356124843620e+008	(-3.76486389311143e+001dB,1.52615135780568e+001°)
1.54881661891248e+008	(-3.76059510161823e+001dB,1.54684650472921e+001°)
1.58489319246111e+008	(-3.75621442683128e+001dB,1.56729793674107e+001°)
1.62181009735892e+008	(-3.75172199099772e+001dB,1.58747621004160e+001°)
1.65958690743755e+008	(-3.74711813933995e+001dB,1.60735140154633e+001°)
1.69824365246174e+008	(-3.74240344847538e+001dB,1.62689319443895e+001°)
1.73780082874937e+008	(-3.73757873469220e+001dB,1.64607096290580e+001°)
