Freq.	I(C1)/V(i)
1.00000000000000e+007	1.00000999999900e-003,6.91150377510601e-004
1.02329299228075e+007	1.00000999999900e-003,7.07249337916469e-004
1.04712854805090e+007	1.00000999999900e-003,7.23723291250530e-004
1.07151930523761e+007	1.00000999999900e-003,7.40580972260092e-004
1.09647819614319e+007	1.00000999999900e-003,7.57831319146546e-004
1.12201845430196e+007	1.00000999999900e-003,7.75483478304217e-004
1.14815362149688e+007	1.00000999999900e-003,7.93546808925161e-004
1.17489755493953e+007	1.00000999999900e-003,8.12030888558156e-004
1.20226443461741e+007	1.00000999999900e-003,8.30945517972861e-004
1.23026877081238e+007	1.00000999999900e-003,8.50300725192804e-004
1.25892541179417e+007	1.00000999999900e-003,8.70106773505806e-004
1.28824955169313e+007	1.00000999999900e-003,8.90374163949636e-004
1.31825673855641e+007	1.00000999999900e-003,9.11113642408704e-004
1.34896288259165e+007	1.00000999999900e-003,9.32336205485377e-004
1.38038426460288e+007	1.00000999999900e-003,9.54053105497730e-004
1.41253754462275e+007	1.00000999999900e-003,9.76275857297567e-004
1.44543977074593e+007	1.00000999999900e-003,9.99016243195987e-004
1.47910838816821e+007	1.00000999999900e-003,1.02228632085408e-003
1.51356124843621e+007	1.00000999999900e-003,1.04609842817171e-003
1.54881661891248e+007	1.00000999999900e-003,1.07046519074542e-003
1.58489319246111e+007	1.00000999999900e-003,1.09539952826207e-003
1.62181009735893e+007	1.00000999999900e-003,1.12091466100400e-003
1.65958690743756e+007	1.00000999999900e-003,1.14702411752531e-003
1.69824365246174e+007	1.00000999999900e-003,1.17374174150280e-003
1.73780082874937e+007	1.00000999999900e-003,1.20108169870634e-003
1.77827941003892e+007	1.00000999999900e-003,1.22905848560265e-003
1.81970085860998e+007	1.00000999999900e-003,1.25768693519078e-003
1.86208713666287e+007	1.00000999999900e-003,1.28698222750882e-003
1.90546071796325e+007	1.00000999999900e-003,1.31695989441491e-003
1.94984459975804e+007	1.00000999999900e-003,1.34763583135054e-003
1.99526231496888e+007	1.00000999999900e-003,1.37902630215750e-003
2.04173794466953e+007	1.00000999999900e-003,1.41114795117830e-003
2.08929613085404e+007	1.00000999999900e-003,1.44401780938674e-003
2.13796208950223e+007	1.00000999999900e-003,1.47765330534043e-003
2.18776162394955e+007	1.00000999999900e-003,1.51207227242931e-003
2.23872113856834e+007	1.00000999999900e-003,1.54729295986656e-003
2.29086765276777e+007	1.00000999999900e-003,1.58333404314816e-003
2.34422881531992e+007	1.00000999999900e-003,1.62021463035227e-003
2.39883291901949e+007	1.00000999999900e-003,1.65795427760353e-003
2.45470891568503e+007	1.00000999999900e-003,1.69657299404188e-003
2.51188643150958e+007	1.00000999999900e-003,1.73609125561205e-003
2.57039578276886e+007	1.00000999999900e-003,1.77653001573467e-003
2.63026799189538e+007	1.00000999999900e-003,1.81791071535838e-003
2.69153480392691e+007	1.00000999999900e-003,1.86025529569711e-003
2.75422870333816e+007	1.00000999999900e-003,1.90358620790979e-003
2.81838293126445e+007	1.00000999999900e-003,1.94792642727113e-003
2.88403150312660e+007	1.00000999999900e-003,1.99329946211302e-003
2.95120922666638e+007	1.00000999999900e-003,2.03972937138305e-003
3.01995172040201e+007	1.00000999999900e-003,2.08724077165030e-003
3.09029543251359e+007	1.00000999999900e-003,2.13585885476356e-003
3.16227766016837e+007	1.00000999999900e-003,2.18560939873838e-003
3.23593656929628e+007	1.00000999999900e-003,2.23651878169454e-003
3.31131121482591e+007	1.00000999999900e-003,2.28861399580218e-003
3.38844156139202e+007	1.00000999999900e-003,2.34192266407578e-003
3.46736850452531e+007	1.00000999999900e-003,2.39647305046975e-003
3.54813389233575e+007	1.00000999999900e-003,2.45229407872629e-003
3.63078054770101e+007	1.00000999999900e-003,2.50941534594866e-003
3.71535229097172e+007	1.00000999999900e-003,2.56786713864654e-003
3.80189396320561e+007	1.00000999999900e-003,2.62768044838976e-003
3.89045144994280e+007	1.00000999999900e-003,2.68888698860767e-003
3.98107170553497e+007	1.00000999999900e-003,2.75151921224968e-003
4.07380277804112e+007	1.00000999999900e-003,2.81561032778770e-003
4.16869383470335e+007	1.00000999999900e-003,2.88119431766295e-003
4.26579518801592e+007	1.00000999999900e-003,2.94830595499322e-003
4.36515832240165e+007	1.00000999999900e-003,3.01698082283625e-003
4.46683592150962e+007	1.00000999999900e-003,3.08725533352969e-003
4.57088189614874e+007	1.00000999999900e-003,3.15916674805038e-003
4.67735141287197e+007	1.00000999999900e-003,3.23275319483128e-003
4.78630092322637e+007	1.00000999999900e-003,3.30805368992233e-003
4.89778819368445e+007	1.00000999999900e-003,3.38510815970367e-003
5.01187233627271e+007	1.00000999999900e-003,3.46395745743272e-003
5.12861383991364e+007	1.00000999999900e-003,3.54464339163588e-003
5.24807460249771e+007	1.00000999999900e-003,3.62720874256398e-003
5.37031796370251e+007	1.00000999999900e-003,3.71169728862513e-003
5.49540873857623e+007	1.00000999999900e-003,3.79815382452839e-003
5.62341325190348e+007	1.00000999999900e-003,3.88662419181592e-003
5.75439937337156e+007	1.00000999999900e-003,3.97715529867396e-003
5.88843655355588e+007	1.00000999999900e-003,4.06979514717495e-003
6.02559586074356e+007	1.00000999999900e-003,4.16459285374325e-003
6.16595001861481e+007	1.00000999999900e-003,4.26159868263303e-003
6.30957344480192e+007	1.00000999999900e-003,4.36086406832216e-003
6.45654229034654e+007	1.00000999999900e-003,4.46244164133734e-003
6.60693448007594e+007	1.00000999999900e-003,4.56638526014334e-003
6.76082975391980e+007	1.00000999999900e-003,4.67275003705893e-003
6.91830970918935e+007	1.00000999999900e-003,4.78159236739818e-003
7.07945784384136e+007	1.00000999999900e-003,4.89296996079375e-003
7.24435960074988e+007	1.00000999999900e-003,5.00694187342138e-003
7.41310241300915e+007	1.00000999999900e-003,5.12356853168977e-003
7.58577575029182e+007	1.00000999999900e-003,5.24291177414713e-003
7.76247116628690e+007	1.00000999999900e-003,5.36503487572653e-003
7.94328234724279e+007	1.00000999999900e-003,5.49000259181541e-003
8.12830516164097e+007	1.00000999999900e-003,5.61788118038410e-003
8.31763771102669e+007	1.00000999999900e-003,5.74873844440294e-003
8.51138038202374e+007	1.00000999999900e-003,5.88264376436562e-003
8.70963589956078e+007	1.00000999999900e-003,6.01966814042798e-003
8.91250938133743e+007	1.00000999999900e-003,6.15988422193653e-003
9.12010839355907e+007	1.00000999999900e-003,6.30336635996844e-003
9.33254300796988e+007	1.00000999999900e-003,6.45019062402433e-003
9.54992586021433e+007	1.00000999999900e-003,6.60043486314493e-003
9.77237220955808e+007	1.00000999999900e-003,6.75417874185608e-003
9.99999999999997e+007	1.00000999999900e-003,6.91150377413853e-003
1.02329299228075e+008	1.00000999999900e-003,7.07249337899283e-003
1.04712854805090e+008	1.00000999999900e-003,7.23723291203663e-003
1.07151930523760e+008	1.00000999999900e-003,7.40580972368824e-003
1.09647819614318e+008	1.00000999999900e-003,7.57831319225308e-003
1.12201845430196e+008	1.00000999999900e-003,7.75483478246077e-003
1.14815362149688e+008	1.00000999999900e-003,7.93546808960959e-003
1.17489755493953e+008	1.00000999999900e-003,8.12030888669643e-003
1.20226443461741e+008	1.00000999999900e-003,8.30945517875201e-003
1.23026877081238e+008	1.00000999999900e-003,8.50300725363731e-003
1.25892541179416e+008	1.00000999999900e-003,8.70106773655757e-003
1.28824955169313e+008	1.00000999999900e-003,8.90374164051713e-003
1.31825673855640e+008	1.00000999999900e-003,9.11113642309049e-003
1.34896288259165e+008	1.00000999999900e-003,9.32336205615120e-003
1.38038426460288e+008	1.00000999999900e-003,9.54053105464320e-003
1.41253754462275e+008	1.00000999999900e-003,9.76275857165294e-003
1.44543977074592e+008	1.00000999999900e-003,9.99016243381357e-003
1.47910838816820e+008	1.00000999999900e-003,1.02228632090415e-002
1.51356124843620e+008	1.00000999999900e-003,1.04609842845906e-002
1.54881661891248e+008	1.00000999999900e-003,1.07046519090293e-002
1.58489319246111e+008	1.00000999999900e-003,1.09539952812993e-002
1.62181009735892e+008	1.00000999999900e-003,1.12091466100025e-002
1.65958690743755e+008	1.00000999999900e-003,1.14702411764498e-002
1.69824365246174e+008	1.00000999999900e-003,1.17374174146252e-002
1.73780082874937e+008	1.00000999999900e-003,1.20108169884769e-002
1.77827941003892e+008	1.00000999999900e-003,1.22905848563074e-002
1.81970085860998e+008	1.00000999999900e-003,1.25768693547396e-002
1.86208713666286e+008	1.00000999999900e-003,1.28698222736177e-002
