Freq.	I(C1)/V(o)	I(C2)/V(o)
1.00000000000000e+007	9.99999997800000e-014,-6.28318530026808e-005	1.00000010000000e-004,6.28319584008689e-005
2.00000000000000e+007	9.99999997800000e-014,-1.25663706005362e-004	1.00000010000000e-004,1.25663916825611e-004
3.00000000000000e+007	9.99999997800000e-014,-1.88495559008042e-004	1.00000010000000e-004,1.88495619785929e-004
4.00000000000000e+007	9.99999997800000e-014,-2.51327412010723e-004	1.00000010000000e-004,2.51327833663159e-004
5.00000000000000e+007	9.99999997800000e-014,-3.14159265013404e-004	1.00000010000000e-004,3.14159792080739e-004
6.00000000000000e+007	9.99999997800000e-014,-3.76991118016085e-004	1.00000010000000e-004,3.76991239579816e-004
7.00000000000000e+007	9.99999997800000e-014,-4.39822971018766e-004	1.00000010000000e-004,4.39822516772664e-004
8.00000000000000e+007	9.99999997800000e-014,-5.02654824021447e-004	1.00000010000000e-004,5.02655667332286e-004
9.00000000000000e+007	9.99999997800000e-014,-5.65486677024127e-004	1.00000010000000e-004,5.65486859371935e-004
1.00000000000000e+008	9.99999997800000e-014,-6.28318530026808e-004	1.00000010000000e-004,6.28319584166252e-004
1.10000000000000e+008	9.99999997800000e-014,-6.91150383029489e-004	1.00000010000000e-004,6.91151542583181e-004
1.20000000000000e+008	9.99999997800000e-014,-7.53982236032170e-004	1.00000010000000e-004,7.53982479163612e-004
1.30000000000000e+008	9.99999997800000e-014,-8.16814089034851e-004	1.00000010000000e-004,8.16814352427459e-004
1.40000000000000e+008	9.99999997800000e-014,-8.79645942037532e-004	1.00000010000000e-004,8.79645033548738e-004
1.50000000000000e+008	9.99999997800000e-014,-9.42477795040212e-004	1.00000010000000e-004,9.42478098955112e-004
1.60000000000000e+008	9.99999997800000e-014,-1.00530964804289e-003	1.00000010000000e-004,1.00531133466756e-003
1.70000000000000e+008	9.99999997800000e-014,-1.06814150104557e-003	1.00000010000000e-004,1.06814184548273e-003
1.80000000000000e+008	9.99999997800000e-014,-1.13097335404825e-003	1.00000010000000e-004,1.13097371874652e-003
1.90000000000000e+008	9.99999997800000e-014,-1.19380520705094e-003	1.00000010000000e-004,1.19380397410256e-003
2.00000000000000e+008	9.99999997800000e-014,-1.25663706005362e-003	1.00000010000000e-004,1.25663916833489e-003
2.10000000000000e+008	9.99999997800000e-014,-1.31946891305630e-003	1.00000010000000e-004,1.31946933853788e-003
2.20000000000000e+008	9.99999997800000e-014,-1.38230076605898e-003	1.00000010000000e-004,1.38230308516853e-003
2.30000000000000e+008	9.99999997800000e-014,-1.44513261906166e-003	1.00000010000000e-004,1.44513504358535e-003
2.40000000000000e+008	9.99999997800000e-014,-1.50796447206434e-003	1.00000010000000e-004,1.50796495832921e-003
2.50000000000000e+008	9.99999997800000e-014,-1.57079632506702e-003	1.00000010000000e-004,1.57079683159298e-003
2.60000000000000e+008	9.99999997800000e-014,-1.63362817806970e-003	1.00000010000000e-004,1.63362870485675e-003
2.70000000000000e+008	9.99999997800000e-014,-1.69646003107238e-003	1.00000010000000e-004,1.69646057812052e-003
2.80000000000000e+008	9.99999997800000e-014,-1.75929188407506e-003	1.00000010000000e-004,1.75929006709918e-003
2.90000000000000e+008	9.99999997800000e-014,-1.82212373707774e-003	1.00000010000000e-004,1.82212432464805e-003
3.00000000000000e+008	9.99999997800000e-014,-1.88495559008042e-003	1.00000010000000e-004,1.88495619791181e-003
3.10000000000000e+008	9.99999997800000e-014,-1.94778744308311e-003	1.00000010000000e-004,1.94778807117558e-003
3.20000000000000e+008	9.99999997800000e-014,-2.01061929608579e-003	1.00000010000000e-004,2.01062266933660e-003
3.30000000000000e+008	9.99999997799999e-014,-2.07345114908847e-003	1.00000010000000e-004,2.07345181770310e-003
3.40000000000000e+008	9.99999997800000e-014,-2.13628300209115e-003	1.00000010000000e-004,2.13628369096686e-003
3.50000000000000e+008	9.99999997800000e-014,-2.19911485509383e-003	1.00000010000000e-004,2.19911258387423e-003
3.60000000000000e+008	9.99999997800000e-014,-2.26194670809651e-003	1.00000010000000e-004,2.26194743749437e-003
3.70000000000000e+008	9.99999997800000e-014,-2.32477856109919e-003	1.00000010000000e-004,2.32477616009567e-003
3.80000000000000e+008	9.99999997800000e-014,-2.38761041410187e-003	1.00000010000000e-004,2.38760794820638e-003
3.90000000000000e+008	9.99999997800000e-014,-2.45044226710455e-003	1.00000010000000e-004,2.45044305728564e-003
4.00000000000000e+008	9.99999997800000e-014,-2.51327412010723e-003	1.00000010000000e-004,2.51327833667098e-003
4.10000000000000e+008	9.99999997800000e-014,-2.57610597310991e-003	1.00000010000000e-004,2.57610331253853e-003
