Freq.	I(C2)/V(o)
1.00000000000000e+007	1.00009999989009e-004,6.28318466978057e-005
1.02329299228075e+007	1.00009999989009e-004,6.42953886064668e-005
1.04712854805090e+007	1.00009999989009e-004,6.57930204217618e-005
1.07151930523761e+007	1.00009999989010e-004,6.73255368684536e-005
1.09647819614319e+007	1.00009999989010e-004,6.88937499462665e-005
1.12201845430196e+007	1.00009999989011e-004,7.04984916034494e-005
1.14815362149688e+007	1.00009999989010e-004,7.21406124665363e-005
1.17489755493953e+007	1.00009999989010e-004,7.38209830840465e-005
1.20226443461741e+007	1.00009999989011e-004,7.55404946573370e-005
1.23026877081238e+007	1.00009999989010e-004,7.73000589022740e-005
1.25892541179417e+007	1.00009999989009e-004,7.91006085035023e-005
1.28824955169313e+007	1.00009999989011e-004,8.09430985377677e-005
1.31825673855641e+007	1.00009999989008e-004,8.28285053747064e-005
1.34896288259165e+007	1.00009999989011e-004,8.47578292364185e-005
1.38038426460288e+007	1.00009999989011e-004,8.67320925073956e-005
1.41253754462275e+007	1.00009999989011e-004,8.87523425487249e-005
1.44543977074593e+007	1.00009999989010e-004,9.08196500822213e-005
1.47910838816821e+007	1.00009999989011e-004,9.29351118403028e-005
1.51356124843621e+007	1.00009999989009e-004,9.50998485342563e-005
1.54881661891248e+007	1.00009999989011e-004,9.73150085618767e-005
1.58489319246111e+007	1.00009999989011e-004,9.95817662723750e-005
1.62181009735893e+007	1.00009999989011e-004,1.01901323702791e-004
1.65958690743756e+007	1.00009999989011e-004,1.04274910194658e-004
1.69824365246174e+007	1.00009999989010e-004,1.06703784953137e-004
1.73780082874937e+007	1.00009999989009e-004,1.09189235454139e-004
1.77827941003892e+007	1.00009999989010e-004,1.11732579326748e-004
1.81970085860998e+007	1.00009999989012e-004,1.14335165459411e-004
1.86208713666287e+007	1.00009999989011e-004,1.16998373790567e-004
1.90546071796325e+007	1.00009999989009e-004,1.19723615996215e-004
1.94984459975804e+007	1.00009999989012e-004,1.22512337229112e-004
1.99526231496888e+007	1.00009999989010e-004,1.25366016105733e-004
2.04173794466953e+007	1.00009999989010e-004,1.28286165683946e-004
2.08929613085404e+007	1.00009999989010e-004,1.31274334487642e-004
