Freq.	I(Ci)/V(i)	I(Co)/V(i)
1.00000000000000e+007	2.27366085651154e-006,1.99037447794132e-004	4.75181513379431e-003,-2.14513402443597e-004
2.00000000000000e+007	9.09998375352510e-006,4.21482173416673e-004	4.72974832921594e-003,-4.28052070853842e-004
3.00000000000000e+007	2.03715688962672e-005,6.37700689421452e-004	4.69331535260796e-003,-6.38472829218228e-004
4.00000000000000e+007	3.59338418215270e-005,8.51238037899660e-004	4.64301867166197e-003,-8.44454071859197e-004
5.00000000000000e+007	5.55778549777531e-005,1.06248674971399e-003	4.57953824276476e-003,-1.04470151100548e-003
6.00000000000000e+007	7.90471762688051e-005,1.27134734914590e-003	4.50370861917312e-003,-1.23803415228615e-003
7.00000000000000e+007	1.06045998672620e-004,1.47761350189111e-003	4.41649251393016e-003,-1.42341309728547e-003
8.00000000000000e+007	1.36248012484020e-004,1.68107107605517e-003	4.31895191629777e-003,-1.59995777286427e-003
9.00000000000000e+007	1.69305575303859e-004,1.88153212560017e-003	4.21221824525978e-003,-1.76695447429324e-003
1.00000000000000e+008	2.04858744423862e-004,2.07884808313945e-003	4.09746295237809e-003,-1.92385847921543e-003
1.10000000000000e+008	2.42543794594330e-004,2.27291439522314e-003	3.97586979996382e-003,-2.07029057755700e-003
1.20000000000000e+008	2.82000921946390e-004,2.46367086587816e-003	3.84860978812599e-003,-2.20602891302323e-003
1.30000000000000e+008	3.22880922115641e-004,2.65109954610435e-003	3.71681942040032e-003,-2.33099711650640e-003
1.40000000000000e+008	3.64850718214492e-004,2.83522113604363e-003	3.58158271264288e-003,-2.44524974417967e-003
1.50000000000000e+008	4.07597694804762e-004,3.01609051043429e-003	3.44391708786983e-003,-2.54895600122321e-003
1.60000000000000e+008	4.50832862281936e-004,3.19379179566594e-003	3.30476307759218e-003,-2.64238264572280e-003
1.70000000000000e+008	4.94292929273064e-004,3.36843331182633e-003	3.16497757708337e-003,-2.72587684266371e-003
