Freq.	I(Ci)/V(o)	I(Co)/V(o)
1.00000000000000e+007	-3.52829005978896e-009,-1.02337097117090e-007	3.40111780775870e-008,3.86507852307364e-005
2.00000000000000e+007	-1.40632396310702e-008,-2.03950138219842e-007	7.71213688035819e-008,1.01172452398650e-004
3.00000000000000e+007	-3.14573735620942e-008,-3.04132071981354e-007	1.48437843352464e-007,1.58384295717808e-004
4.00000000000000e+007	-5.54705097826285e-008,-4.02208805847573e-007	2.47178783801984e-007,2.14262993622885e-004
5.00000000000000e+007	-8.57779795411377e-008,-4.97553781105512e-007	3.72287518851852e-007,2.69602280551659e-004
6.00000000000000e+007	-1.21981331165037e-007,-5.89600277513707e-007	5.22467257171512e-007,3.24665569327093e-004
7.00000000000000e+007	-1.63620931015478e-007,-6.77851058460259e-007	6.96222093161719e-007,3.79564922980935e-004
8.00000000000000e+007	-2.10189749418843e-007,-7.61885092847973e-007	8.91901864861699e-007,4.34355811130312e-004
9.00000000000000e+007	-2.61147609246476e-007,-8.41361291703280e-007	1.10774853133928e-006,4.89068701158416e-004
1.00000000000000e+008	-3.15935220685440e-007,-9.16019380600367e-007	1.34194184898452e-006,5.43721691965809e-004
1.10000000000000e+008	-3.73987416388138e-007,-9.85678180737303e-007	1.59264244410738e-006,5.98326250288879e-004
1.20000000000000e+008	-4.34745122051678e-007,-1.05023168271760e-006	1.85803077493001e-006,6.52890068295870e-004
1.30000000000000e+008	-4.97665733087550e-007,-1.10964336432691e-006	2.13634089785335e-006,7.07418590843279e-004
1.40000000000000e+008	-5.62231704158214e-007,-1.16393922865385e-006	2.42588842853790e-006,7.61915876715154e-004
1.50000000000000e+008	-6.27957283446227e-007,-1.21320002754151e-006	2.72509245562754e-006,8.16385102219025e-004
1.60000000000000e+008	-6.94393429585822e-007,-1.25755309577542e-006	3.03249154387750e-006,8.70828867550034e-004
1.70000000000000e+008	-7.61131031835822e-007,-1.29716416270703e-006	3.34675421555523e-006,9.25249382799547e-004
1.80000000000000e+008	-8.27802612153626e-007,-1.33222943893814e-006	3.66668448635365e-006,9.79648585807165e-004
1.90000000000000e+008	-8.94082722714667e-007,-1.36296820380569e-006	3.99122316390216e-006,1.03402821577565e-003
2.00000000000000e+008	-9.59687267166087e-007,-1.38961605056711e-006	4.31944563548813e-006,1.08838985955169e-003
2.10000000000000e+008	-1.02437197249142e-006,-1.41241888445412e-006	4.65055689584227e-006,1.14273498201705e-003
2.20000000000000e+008	-1.08793022500139e-006,-1.43162771648797e-006	4.98388450352273e-006,1.19706494173124e-003
2.30000000000000e+008	-1.15019046267883e-006,-1.44749425408763e-006	5.31887009623131e-006,1.25138100808133e-003
2.40000000000000e+008	-1.21101329032828e-006,-1.46026725790883e-006	5.65505999879913e-006,1.30568436254226e-003
2.50000000000000e+008	-1.27028845653423e-006,-1.47018961217824e-006	5.99209538608069e-006,1.35997611025765e-003
