Freq.	I(Ci)/V(i)	I(Co)/V(i)
1.00000000000000e+007	1.17721472354850e-008,1.54337953200947e-004	4.75612796381597e-003,-5.65871991189957e-005
2.00000000000000e+007	6.02462810266663e-008,3.32549139179080e-004	4.75611732036506e-003,-1.13716605097731e-004
3.00000000000000e+007	1.41036779635977e-007,5.05455140222440e-004	4.75610086572685e-003,-1.70725518098582e-004
4.00000000000000e+007	2.54143499795835e-007,6.77034820134058e-004	4.75607799781783e-003,-2.27704305016365e-004
5.00000000000000e+007	3.99566410169523e-007,8.48083943685759e-004	4.75604864246222e-003,-2.84671038310364e-004
6.00000000000000e+007	5.77305487433191e-007,1.01886775931119e-003	4.75601278135791e-003,-3.41631741373071e-004
7.00000000000000e+007	7.87360706624172e-007,1.18949993908952e-003	4.75597040823490e-003,-3.98588995006926e-004
8.00000000000000e+007	1.02973203929613e-006,1.36003731398678e-003	4.75592152047530e-003,-4.55544089043182e-004
9.00000000000000e+007	1.30441945301632e-006,1.53051145273746e-003	4.75586611682969e-003,-5.12497739548134e-004
1.00000000000000e+008	1.61142291119482e-006,1.70094129206592e-003	4.75580419664124e-003,-5.69450375705606e-004
1.10000000000000e+008	1.95074237301692e-006,1.87133887940395e-003	4.75573575953861e-003,-6.26402270218077e-004
1.20000000000000e+008	2.32237779341310e-006,2.04171224290419e-003	4.75566080529970e-003,-6.83353604507244e-004
1.30000000000000e+008	2.72632912304464e-006,2.21206693749554e-003	4.75557933378573e-003,-7.40304503822012e-004
1.40000000000000e+008	3.16259630829598e-006,2.38240692820591e-003	4.75549134490701e-003,-7.97255057300210e-004
1.50000000000000e+008	3.63117929127067e-006,2.55273511977444e-003	4.75539683860408e-003,-8.54205330005615e-004
1.60000000000000e+008	4.13207800978897e-006,2.72305368843503e-003	4.75529581483687e-003,-9.11155370451095e-004
1.70000000000000e+008	4.66529239738647e-006,2.89336429644360e-003	4.75518827357815e-003,-9.68105215466519e-004
1.80000000000000e+008	5.23082238331314e-006,3.06366823385009e-003	4.75507421480944e-003,-1.02505489344404e-003
1.90000000000000e+008	5.82866789253288e-006,3.23396651708925e-003	4.75495363851846e-003,-1.08200442655856e-003
