Freq.	I(Ci)/V(o)	I(Co)/V(o)
1.00000000000000e+007	-3.17040279315772e-009,-5.61401135963094e-005	9.68899087727317e-006,4.02237950060469e-005
2.00000000000000e+007	-1.26257098943193e-008,-1.12280204796730e-004	9.69844546613802e-006,1.04319728413242e-004
3.00000000000000e+007	-2.83845546701477e-008,-1.68420298614676e-004	9.71420328551153e-006,1.63110739834936e-004
4.00000000000000e+007	-5.04469365223487e-008,-2.24560390432744e-004	9.73626425506340e-006,2.20575518098030e-004
5.00000000000000e+007	-7.88128546160864e-008,-2.80700478478094e-004	9.76462836389428e-006,2.77509800097945e-004
6.00000000000000e+007	-1.13482307878279e-007,-3.36840561451975e-004	9.79929560756690e-006,3.34178830800705e-004
7.00000000000000e+007	-1.54455294997441e-007,-3.92980638191094e-004	9.84026598535864e-006,3.90696286038756e-004
8.00000000000000e+007	-2.01731814423652e-007,-4.49120707582953e-004	9.88753949368653e-006,4.47119003116808e-004
9.00000000000000e+007	-2.55311864368548e-007,-5.05260768537632e-004	9.94111613157590e-006,5.03478557887183e-004
1.00000000000000e+008	-3.15195442805322e-007,-5.61400819976498e-004	1.00009958968018e-005,5.59793895309686e-004
1.10000000000000e+008	-3.81382547468720e-007,-6.17540860827075e-004	1.00671787867105e-005,6.16077071144062e-004
1.20000000000000e+008	-4.53873175855040e-007,-6.73680890020481e-004	1.01396647998122e-005,6.72336122327924e-004
1.30000000000000e+008	-5.32667325222138e-007,-7.29820906490045e-004	1.02184539320857e-005,7.28576611808997e-004
1.40000000000000e+008	-6.17764992589420e-007,-7.85960909170515e-004	1.03035461811989e-005,7.84802513763682e-004
1.50000000000000e+008	-7.09166174737845e-007,-8.42100896997590e-004	1.03949415434281e-005,8.41016741376564e-004
1.60000000000000e+008	-8.06870868209932e-007,-8.98240868907620e-004	1.04926400157008e-005,8.97221480044877e-004
1.70000000000000e+008	-9.10879069309749e-007,-9.54380823837415e-004	1.05966415950073e-005,9.53418400610627e-004
1.80000000000000e+008	-1.02119077410292e-006,-1.01052076072412e-003	1.07069462761564e-005,1.00960880172822e-003
1.90000000000000e+008	-1.13780597841663e-006,-1.06666067850512e-003	1.08235540555451e-005,1.06579370930636e-003
2.00000000000000e+008	-1.26072467783961e-006,-1.12280057611800e-003	1.09464649289209e-005,1.12197394301270e-003
2.10000000000000e+008	-1.38994686772215e-006,-1.17894045250047e-003	1.10756788911119e-005,1.17815016742541e-003
2.20000000000000e+008	-1.52547254317610e-006,-1.23508030659035e-003	1.12111959372862e-005,1.23432292388890e-003
2.30000000000000e+008	-1.66730169907488e-006,-1.29122013732556e-003	1.13530160626549e-005,1.29049266258259e-003
2.40000000000000e+008	-1.81543433005343e-006,-1.34735994364407e-003	1.15011392627231e-005,1.34665975507246e-003
2.50000000000000e+008	-1.96987043050828e-006,-1.40349972448391e-003	1.16555655298817e-005,1.40282451593999e-003
2.60000000000000e+008	-2.13060999459751e-006,-1.45963947878318e-003	1.18162948596122e-005,1.45898720979873e-003
2.70000000000000e+008	-2.29765301624077e-006,-1.51577920547997e-003	1.19833272457884e-005,1.51514806267934e-003
2.80000000000000e+008	-2.47099948911924e-006,-1.57191890351245e-003	1.21566626817835e-005,1.57130726723241e-003
2.90000000000000e+008	-2.65064940667569e-006,-1.62805857181878e-003	1.23363011611145e-005,1.62746499032415e-003
3.00000000000000e+008	-2.83660276211443e-006,-1.68419820933715e-003	1.25222426768399e-005,1.68362137593160e-003
3.10000000000000e+008	-3.02885954840135e-006,-1.74033781500578e-003	1.27144872221129e-005,1.73977654933213e-003
3.20000000000000e+008	-3.22741975826389e-006,-1.79647738776290e-003	1.29130347896699e-005,1.79593062081618e-003
3.30000000000000e+008	-3.43228338419105e-006,-1.85261692654675e-003	1.31178853723049e-005,1.85208368554243e-003
3.40000000000000e+008	-3.64345041843341e-006,-1.90875643029558e-003	1.33290389618802e-005,1.90823582921759e-003
3.50000000000000e+008	-3.86092085300309e-006,-1.96489589794767e-003	1.35464955506565e-005,1.96438712630813e-003
3.60000000000000e+008	-4.08469467967380e-006,-2.02103532844129e-003	1.37702551297301e-005,2.02053764218615e-003
3.70000000000000e+008	-4.31477188998080e-006,-2.07717472071472e-003	1.40003176915357e-005,2.07668743817048e-003
3.80000000000000e+008	-4.55115247522093e-006,-2.13331407370626e-003	1.42366832265536e-005,2.13283656578731e-003
3.90000000000000e+008	-4.79383642645258e-006,-2.18945338635421e-003	1.44793517265280e-005,2.18898507250104e-003
4.00000000000000e+008	-5.04282373449571e-006,-2.24559265759687e-003	1.47283231818886e-005,2.24513300022407e-003
4.10000000000000e+008	-5.29811438993187e-006,-2.30173188637256e-003	1.49835975834479e-005,2.30128038902098e-003
4.20000000000000e+008	-5.55970838310415e-006,-2.35787107161960e-003	1.52451749215025e-005,2.35742727146288e-003
4.30000000000000e+008	-5.82760570411725e-006,-2.41401021227632e-003	1.55130551858124e-005,2.41357368006975e-003
4.40000000000000e+008	-6.10180634283740e-006,-2.47014930728104e-003	1.57872383669858e-005,2.46971964269523e-003
4.50000000000000e+008	-6.38231028889243e-006,-2.52628835557210e-003	1.60677244538597e-005,2.52586518439988e-003
4.60000000000000e+008	-6.66911753167173e-006,-2.58242735608785e-003	1.63545134359692e-005,2.58201032787705e-003
4.70000000000000e+008	-6.96222806032628e-006,-2.63856630776662e-003	1.66476053029495e-005,2.63815509573489e-003
4.80000000000000e+008	-7.26164186376862e-006,-2.69470520954678e-003	1.69470000434875e-005,2.69429950792481e-003
4.90000000000000e+008	-7.56735893067287e-006,-2.75084406036667e-003	1.72526976461536e-005,2.75044358021718e-003
5.00000000000000e+008	-7.87937924947474e-006,-2.80698285916465e-003	1.75646980993603e-005,2.80658733028980e-003
